Account Number,Situs Address,SaleDate,SalePrice,RMVLAND,RMVIMPR,RMV,AV,Difference,Percent_Difference,Ratio
580207,1124 CAYUSE CIR SE SALEM OR 97306,2024-02-26,460000.0,142500,297580,440080,224760,19920.0,4.5264497364115615,1.0452644973641156
585094,1293 15TH ST SE SALEM OR 97302,2024-01-26,421250.0,109750,234450,344200,141350,77050.0,22.38524113887275,1.2238524113887275
570208,2180 LIBERTY ST NE SALEM OR 97301,2024-01-26,319900.0,99750,181700,281450,106270,38450.0,13.661396340380175,1.1366139634038017
587147,270 IDYLWOOD DR SE SALEM OR 97302,2024-01-26,429400.0,165000,238910,403910,205700,25490.0,6.310811814513134,1.0631081181451314
591003,1752 ROCK CREEK DR S SALEM OR 97306,2024-01-26,435000.0,165000,248830,413830,194010,21170.0,5.1156271899089,1.051156271899089
342106,1925 BROOKVALE AVE SE SALEM OR 97306,2024-01-29,355000.0,96060,243060,339120,201220,15880.0,4.682708185892899,1.046827081858929
562724,4352 VERNON LOOP NE SALEM OR 97305,2024-01-30,390900.0,137040,220580,357620,178500,33280.0,9.30596722778368,1.0930596722778367
331308,5842 FOUNTAINHEAD ST SE SALEM OR 97306,2024-01-31,529000.0,118000,344240,462240,293810,66760.0,14.442713741779162,1.1444271374177917
573169,3929 DAKOTA RD SE SALEM OR 97302,2024-01-31,397800.0,162500,216650,379150,183940,18650.0,4.918897533957536,1.0491889753395753
602526,9277 HOPE AVE NE SALEM OR 97305,2024-01-31,505000.0,147210,213500,360710,150670,144290.0,40.00166338609964,1.4000166338609963
607215,4885 MOON AVE NE SALEM OR 97305,2024-01-31,512890.0,137040,385490,522530,289190,-9640.0,-1.8448701509961152,0.9815512984900389
333802,5925 PORT STEWART CT SE SALEM OR 97306,2024-02-01,690000.0,133000,561200,694200,403090,-4200.0,-0.6050129645635264,0.9939498703543648
567289,2275 TOWNSEND WAY SE SALEM OR 97301,2024-02-01,309000.0,111050,165310,276360,91840,32640.0,11.810681719496309,1.118106817194963
341330,6163 LILLIAN ST SE SALEM OR 97306,2024-02-02,575000.0,165000,555060,720060,387330,-145060.0,-20.145543426936644,0.7985445657306336
582766,3291 BLUFF AVE SE SALEM OR 97302,2024-02-05,770000.0,236540,661060,897600,419600,-127600.0,-14.215686274509803,0.8578431372549019
583032,235 CANDALARIA BLVD S SALEM OR 97302,2024-02-05,390000.0,165000,185030,350030,180380,39970.0,11.419021226751992,1.11419021226752
600860,5230 49TH AVE NE SALEM OR 97305,2024-02-06,565000.0,137040,389860,526900,275830,38100.0,7.230973619282596,1.072309736192826
585073,1410 HINES ST SE SALEM OR 97302,2024-02-08,160000.0,99750,153730,253480,72600,-93480.0,-36.87864920309295,0.6312135079690705
570505,865 SALEM HEIGHTS AVE S SALEM OR 97302,2024-02-09,559900.0,165000,346820,511820,311040,48080.0,9.39392755265523,1.0939392755265522
555878,461 45TH CT NE SALEM OR 97301,2024-03-06,389900.0,137040,282160,419200,203050,-29300.0,-6.989503816793893,0.930104961832061
566077,6435 13TH AVE SE SALEM OR 97306,2024-02-09,450000.0,165000,305410,470410,232030,-20410.0,-4.338768308496843,0.9566123169150316
608618,499 GREENCREST ST NE SALEM OR 97301,2024-02-09,445295.0,137040,405070,542110,273710,-96815.0,-17.858921621073215,0.8214107837892679
603984,2077 STRONG RD SE SALEM OR 97302,2024-02-14,369900.0,95560,253750,349310,186190,20590.0,5.894477684578169,1.0589447768457816
600865,5180 49TH AVE NE SALEM OR 97305,2024-02-14,420000.0,137040,283480,420520,226760,-520.0,-0.1236564253781033,0.998763435746219
321222,4773 SAUNTER LOOP NE SALEM OR 97305,2024-02-15,395000.0,137040,269770,406810,193270,-11810.0,-2.903075145645387,0.9709692485435462
573644,528 INVERNESS DR SE SALEM OR 97306,2024-02-13,478343.0,115000,319790,434790,281790,43553.0,10.017019710664918,1.100170197106649
527179,912 EDINA LN NE SALEM OR 97301,2024-02-15,332000.0,137040,157570,294610,99000,37390.0,12.691354672278607,1.126913546722786
608621,493 GREENCREST ST NE SALEM OR 97301,2024-02-15,451295.0,137040,406150,543190,273460,-91895.0,-16.917653123216553,0.8308234687678344
607159,5405 EARTH PL NE SALEM OR 97305,2024-02-16,464900.0,142740,297180,439920,229340,24980.0,5.678305146390253,1.0567830514639025
607210,5601 EARTH PL NE SALEM OR 97305,2024-02-16,485395.0,137040,366710,503750,262820,-18355.0,-3.6436724565756826,0.9635632754342431
546109,4355 AMHERST CT NE SALEM OR 97305,2024-02-16,340000.0,137040,174330,311370,146560,28630.0,9.194848572437936,1.0919484857243793
594757,2626 47TH AVE NE SALEM OR 97305,2024-02-21,415000.0,137040,311880,448920,229920,-33920.0,-7.555911966497371,0.9244408803350262
353190,1613 WATSON BUTTE AVE SE SALEM OR 97306,2024-02-21,624275.0,165000,518250,683250,343910,-58975.0,-8.631540431759971,0.9136845956824003
571581,1096 25TH AVE NE SALEM OR 97301,2024-02-21,355000.0,137040,161290,298330,124930,56670.0,18.995742969195188,1.189957429691952
568879,3750 SAXON DR S SALEM OR 97302,2024-02-22,539900.0,165000,301140,466140,251800,73760.0,15.823572317329557,1.1582357231732956
570773,4520 REDINGER CT S SALEM OR 97302,2024-02-22,477500.0,165000,317220,482220,250530,-4720.0,-0.9788063539463315,0.9902119364605367
343420,297 SUMMIT VIEW AVE SE SALEM OR 97306,2024-02-22,470000.0,165000,287990,452990,274400,17010.0,3.755049780348352,1.0375504978034835
547555,3449 GULFPORT ST NE SALEM OR 97305,2024-02-22,292000.0,0,284730,284730,139980,7270.0,2.5532961050820075,1.0255329610508201
585279,1505 21ST ST NE SALEM OR 97301,2024-02-22,465000.0,137040,353980,491020,197440,-26020.0,-5.299173149769866,0.9470082685023014
603825,4881 DENALI ST SE SALEM OR 97302,2024-02-22,759000.0,187500,520270,707770,366600,51230.0,7.238227107676222,1.0723822710767623
332678,9312 HALLELUJAH DR NE SALEM OR 97305,2024-02-23,350000.0,144710,307190,451900,190700,-101900.0,-22.549236556760345,0.7745076344323966
332673,9272 HALLELUJAH DR NE SALEM OR 97305,2024-02-23,325000.0,144710,137180,281890,105380,43110.0,15.293199474972507,1.152931994749725
339452,3218 HULSEY AVE SE SALEM OR 97302,2024-02-23,440000.0,184500,283560,468060,251830,-28060.0,-5.994957911378883,0.9400504208862112
608606,4051 VILLAGE CENTER DR SE SALEM OR 97302,2024-02-23,389900.0,156580,255170,411750,209620,-21850.0,-5.30661809350334,0.9469338190649667
586678,1970 WARNER ST NE SALEM OR 97301,2024-02-24,309900.0,99750,159830,259580,97010,50320.0,19.385160644117423,1.1938516064411742
551498,4262 INDIGO ST NE SALEM OR 97305,2024-02-23,400000.0,137040,298780,435820,214450,-35820.0,-8.218989491074296,0.917810105089257
607202,5623 49TH AVE NE SALEM OR 97305,2024-02-27,440995.0,137040,303860,440900,244540,95.0,0.021546836017237468,1.0002154683601723
573511,3092 RAWLINS AVE NE SALEM OR 97301,2024-02-28,398500.0,137040,207750,344790,155100,53710.0,15.577597958177442,1.1557759795817744
342410,2244 TUSCANA AVE S SALEM OR 97306,2024-02-28,550000.0,165000,512060,677060,450270,-127060.0,-18.76643133547987,0.8123356866452013
585653,1175 NEBRASKA AVE NE SALEM OR 97301,2024-02-28,675000.0,157040,369120,526160,241810,148840.0,28.28797324007906,1.2828797324007906
607211,5587 EARTH PL NE SALEM OR 97305,2024-02-28,523995.0,137040,422790,559830,313210,-35835.0,-6.401050318846793,0.9359894968115321
573336,1695 SAGINAW ST S SALEM OR 97302,2024-02-29,695000.0,154500,539690,694190,368320,810.0,0.11668275256053817,1.0011668275256054
331681,4442 PLOW CT NE SALEM OR 97305,2024-02-29,420000.0,137040,346630,483670,238960,-63670.0,-13.16393408729092,0.8683606591270908
575129,5384 NORMA AVE SE SALEM OR 97306,2024-02-29,615000.0,165000,513090,678090,460640,-63090.0,-9.304074680352166,0.9069592531964783
608604,4059 VILLAGE CENTER DR SE SALEM OR 97302,2024-02-29,393000.0,156580,252990,409570,198120,-16570.0,-4.045706472642039,0.9595429352735796
594403,1270 MARSTONE ST SE SALEM OR 97306,2024-02-29,415000.0,165000,265730,430730,231940,-15730.0,-3.6519397302254313,0.9634806026977457
608607,4047 VILLAGE CENTER DR SE SALEM,2024-02-29,397000.0,156580,261890,418470,202990,-21470.0,-5.130594785767199,0.948694052142328
338172,3770 ABERDEEN ST S SALEM OR 97302,2024-02-02,650000.0,165000,719170,884170,481270,-234170.0,-26.48472578802719,0.7351527421197281
585195,745 D ST NE SALEM OR 97301,2024-01-05,330000.0,128000,231970,359970,125420,-29970.0,-8.325693807817318,0.9167430619218269
582412,1976 FAIRMOUNT AVE S SALEM OR 97302,2024-03-01,295000.0,117500,143400,260900,178330,34100.0,13.070141816788041,1.1307014181678805
608623,487 GREENCREST ST NE SALEM OR 97301,2024-03-01,459995.0,137040,431630,568670,286540,-108675.0,-19.110380361193663,0.8088961963880634
327581,5865 POPPY HILLS ST SE SALEM OR 97306,2024-03-01,525000.0,115000,492470,607470,386530,-82470.0,-13.575979060694355,0.8642402093930565
547369,432 CONNECTICUT AVE SE SALEM OR 97317,2024-03-01,345000.0,137040,222120,359160,168780,-14160.0,-3.942532576010692,0.9605746742398931
570746,2405 CRESTMONT CIR S SALEM OR 97302,2024-03-04,875000.0,173250,872680,1045930,746530,-170930.0,-16.342393850448882,0.8365760614955112
605131,5965 PALAZZO ST S SALEM OR 97306,2024-03-04,659900.0,165000,476850,641850,319940,18050.0,2.8121835319778765,1.0281218353197787
358726,5618 HORIZON VIEW ST SE SALEM OR 97306,2024-03-04,624000.0,165000,445060,610060,308610,13940.0,2.2850211454611022,1.022850211454611
608619,497 GREENCREST ST NE SALEM OR 97301,2024-03-05,424995.0,137040,385060,522100,263350,-97105.0,-18.598927408542426,0.8140107259145758
607208,5629 EARTH PL NE SALEM OR 97305,2024-03-06,530555.0,137040,431700,568740,305880,-38185.0,-6.713964201568379,0.9328603579843162
605116,5975 EVANGELISTA ST S SALEM OR 97306,2024-03-06,727523.0,165000,520710,685710,346270,41813.0,6.097767277712152,1.0609776727771216
522255,4500 SATTER DR NE SALEM OR 97305,2024-03-06,475000.0,99750,420410,520160,217370,-45160.0,-8.681944017225469,0.9131805598277453
584110,3089 WOODDALE AVE NE SALEM OR 97301,2024-03-06,230000.0,137040,208860,345900,160460,-115900.0,-33.506793871061,0.66493206128939
608624,483 GREENCREST ST NE SALEM OR 97301,2024-03-06,446995.0,137040,406150,543190,273240,-96195.0,-17.70927299839835,0.8229072700160165
586567,5025 CULTUS AVE SE SALEM OR 97306,2024-03-06,475000.0,184500,286440,470940,259960,4060.0,0.8621055760818788,1.0086210557608188
594114,5477 MONTEREY DR SE SALEM OR 97306,2024-03-07,487000.0,184500,281590,466090,255650,20910.0,4.486258018837564,1.0448625801883757
608620,495 GREENCREST ST NE SALEM OR 97301,2024-03-07,427995.0,137040,391090,528130,265690,-100135.0,-18.960293867040313,0.8103970613295969
532400,5725 SKYLINE RD S SALEM OR 97306,2024-03-07,449300.0,235560,225950,461510,269650,-12210.0,-2.6456631492275355,0.9735433685077246
343130,5613 HAWK HILL ST SE SALEM OR 97306,2024-03-08,433000.0,165000,384700,549700,276070,-116700.0,-21.22976168819356,0.7877023831180644
586584,1495 EWALD AVE SE SALEM OR 97302,2024-03-11,660000.0,184500,457770,642270,361620,17730.0,2.760521276098837,1.0276052127609883
345518,295 CHURCH ST SE 403 SALEM OR 97301,2024-03-12,375000.0,0,435470,435470,224710,-60470.0,-13.886146003168989,0.8611385399683101
592441,536 21ST ST NE SALEM OR 97301,2024-03-12,302000.0,134540,156990,291530,115000,10470.0,3.5913971117895245,1.0359139711178953
577792,980 HOLIDAY CT S SALEM OR 97302,2024-03-12,763500.0,185000,665200,850200,519540,-86700.0,-10.197600564573042,0.8980239943542696
586788,230 18TH ST NE SALEM OR 97301,2024-03-12,450000.0,128000,291150,419150,133830,30850.0,7.360133603721818,1.073601336037218
331414,2869 VIBBERT ST S SALEM OR 97302,2024-03-13,470000.0,165000,324970,489970,281240,-19970.0,-4.075759740392269,0.9592424025960773
582841,3619 PRINGLE RD SE SALEM OR 97302,2024-03-13,460000.0,184500,274450,458950,230450,1050.0,0.22878309184006973,1.0022878309184007
585543,1060 FIR ST S SALEM OR 97302,2024-03-08,397000.0,130000,206300,336300,184920,60700.0,18.049360689860244,1.1804936068986025
329678,4322 BARLEY CT NE SALEM OR 97305,2024-03-08,425000.0,140040,335480,475520,233160,-50520.0,-10.624158815612383,0.8937584118438762
594245,3090 CRESTVIEW DR S SALEM OR 97302,2024-03-08,814000.0,168000,625570,793570,424280,20430.0,2.574442078203561,1.0257444207820356
590312,690 24TH ST SE SALEM OR 97301,2024-03-08,314000.0,97250,151480,248730,86390,65270.0,26.241305833634865,1.2624130583363486
531924,4784 SKYLINE RD S SALEM OR 97306,2024-03-08,445000.0,210000,233150,443150,218940,1850.0,0.4174658693444658,1.0041746586934446
569966,4072 CLOUD DR S SALEM OR 97302,2024-03-14,528400.0,165000,389920,554920,350810,-26520.0,-4.77906725293736,0.9522093274706264
558309,695 45TH PL NE SALEM OR 97301,2024-03-14,330000.0,137040,173390,310430,135100,19570.0,6.304158747543729,1.0630415874754373
608625,479 GREENCREST ST NE SALEM OR 97301,2024-03-14,466995.0,137040,431630,568670,286380,-101675.0,-17.879437986881673,0.8212056201311833
522278,4322 45TH AVE NE SALEM OR 97305,2024-03-14,410000.0,137040,307290,444330,206740,-34330.0,-7.726239506672969,0.9227376049332703
605129,5938 PALAZZO ST S SALEM OR 97306,2024-03-15,650000.0,165000,471400,636400,317280,13600.0,2.1370207416719045,1.021370207416719
607204,5633 EARTH PL NE SALEM OR 97305,2024-03-15,467794.0,137040,352710,489750,253170,-21956.0,-4.483103624298111,0.9551689637570189
603987,2053 STRONG RD SE SALEM OR 97302,2024-03-15,369900.0,95560,253750,349310,186020,20590.0,5.894477684578169,1.0589447768457816
526914,2920 JENSEN ST NE SALEM OR 97301,2024-03-15,308700.0,132040,120090,252130,108330,56570.0,22.436838139055247,1.2243683813905526
578518,612 IRONWOOD DR SE SALEM OR 97306,2024-03-15,429000.0,165000,242590,407590,225040,21410.0,5.2528275963590865,1.0525282759635908
571314,3545 JANA AVE S SALEM OR 97302,2024-03-15,529900.0,168000,348490,516490,266350,13410.0,2.596371662568491,1.025963716625685
607231,5605 EARTH PL NE SALEM OR 97305,2024-03-18,409995.0,137040,288220,425260,222050,-15265.0,-3.589568734421295,0.964104312655787
596645,5355 BERKSHIRE CT SE SALEM OR 97306,2024-03-18,921500.0,184500,685140,869640,511600,51860.0,5.963387148705211,1.0596338714870521
330415,2095 PIPPIN ST NE SALEM OR 97305,2024-03-19,348000.0,99750,174590,274340,149350,73660.0,26.849894291754755,1.2684989429175475
596367,1438 POLO CT SE SALEM OR 97317,2024-03-20,362500.0,137040,213380,350420,179610,12080.0,3.44729182124308,1.0344729182124308
608627,486 GREENCREST ST NE SALEM OR 97301,2024-03-20,450295.0,137040,406150,543190,273240,-92895.0,-17.101750768607673,0.8289824923139233
591145,2180 RED OAK DR S SALEM OR 97302,2024-03-20,539990.0,185000,472620,657620,338910,-117630.0,-17.887229707125694,0.821127702928743
582642,2048 MOCKING BIRD DR S SALEM OR 97302,2024-03-20,400000.0,165000,172960,337960,158990,62040.0,18.357202035743875,1.1835720203574387
608622,491 GREENCREST ST NE SALEM OR 97301,2024-03-20,425995.0,137040,391090,528130,265490,-102135.0,-19.33898850661769,0.8066101149338231
583332,3984 CRESTVIEW DR S SALEM OR 97302,2024-03-21,370000.0,165000,202840,367840,187040,2160.0,0.58721183123097,1.0058721183123096
583410,4536 LAURENS CT SE SALEM OR 97302,2024-03-21,397000.0,165000,222600,387600,184570,9400.0,2.4251805985552117,1.024251805985552
607158,5419 EARTH PL NE SALEM OR 97305,2024-03-21,475000.0,137040,300020,437060,230690,37940.0,8.680730334507848,1.0868073033450785
573599,528 CREEKSIDE DR SE SALEM OR 97306,2024-03-22,555000.0,145000,441330,586330,417270,-31330.0,-5.343407296232497,0.9465659270376751
338684,5439 SALAL ST SE SALEM OR 97306,2024-03-22,580000.0,184500,481350,665850,387440,-85850.0,-12.893294285499737,0.8710670571450027
527551,1561 CHEMEKETA ST NE SALEM OR 97301,2024-03-22,640000.0,139300,499910,639210,250520,790.0,0.12359005647596252,1.0012359005647595
578118,4733 2ND AVE SE SALEM OR 97302,2024-03-22,395000.0,165000,210110,375110,166580,19890.0,5.302444616245902,1.053024446162459
602557,5368 EZRA LN NE SALEM OR 97305,2024-03-22,435000.0,144710,310400,455110,240740,-20110.0,-4.418711959745996,0.9558128804025401
341079,1852 COUSTEAU LOOP SE SALEM OR 97302,2024-03-22,94500.0,100850,0,100850,67910,-6350.0,-6.296479920674268,0.9370352007932573
603817,1419 BOONE RD SE SALEM OR 97306,2024-03-25,525000.0,187500,393480,580980,276990,-55980.0,-9.635443560879892,0.903645564391201
354142,4715 HOMER DR NE SALEM OR 97305,2024-03-25,424900.0,99750,433150,532900,230580,-108000.0,-20.26646650403453,0.7973353349596547
585423,480 OHMART AVE SE SALEM OR 97302,2024-03-25,384000.0,187500,276320,463820,248520,-79820.0,-17.209262213789835,0.8279073778621017
605115,5963 EVANGELISTA ST S SALEM OR 97306,2024-03-26,669900.0,165000,509740,674740,335780,-4840.0,-0.71731333550701,0.9928268666449299
581486,4555 LONE OAK RD SE SALEM OR 97302,2024-03-26,420000.0,165000,224200,389200,183650,30800.0,7.913669064748201,1.079136690647482
607209,5615 EARTH PL NE SALEM OR 97305,2024-03-26,521995.0,137040,411380,548420,285120,-26425.0,-4.818387367346195,0.951816126326538
608629,494 GREENCREST ST NE SALEM OR 97301,2024-03-26,455295.0,137040,406150,543190,272630,-87895.0,-16.181262541652092,0.838187374583479
332644,9340 CHARITY AVE NE SALEM OR 97305,2024-03-26,412000.0,144710,177070,321780,121140,90220.0,28.037789794269376,1.2803778979426939
575799,625 GREENCREST ST NE SALEM OR 97301,2024-04-12,380000.0,137040,239580,376620,172780,3380.0,0.8974563220221974,1.008974563220222
608626,475 GREENCREST ST NE SALEM OR 97301,2024-03-27,442295.0,137040,391090,528130,265490,-85835.0,-16.252627194062068,0.8374737280593794
590259,330 24TH ST SE SALEM OR 97301,2024-03-27,375500.0,137040,177090,314130,151910,61370.0,19.53649762837042,1.1953649762837042
608634,4766 BREITENBUSH AVE NE SALEM OR 97301,2024-03-27,446995.0,137040,406150,543190,272160,-96195.0,-17.70927299839835,0.8229072700160165
577614,1251 WOODACRE DR SE SALEM OR 97302,2024-03-28,425000.0,184500,268910,453410,208070,-28410.0,-6.265852098542159,0.9373414790145784
565818,6585 FAIRWAY AVE SE SALEM OR 97306,2024-03-29,363000.0,88950,245120,334070,201640,28930.0,8.659861705630556,1.0865986170563056
607206,5657 EARTH PL NE SALEM OR 97305,2024-03-28,446995.0,137040,348870,485910,251100,-38915.0,-8.008684735856434,0.9199131526414357
547571,3436 COVINGTON ST NE SALEM OR 97305,2024-03-29,300000.0,0,285150,285150,152940,14850.0,5.207785376117833,1.0520778537611783
608632,4754 BREITENBUSH AVE NE SALEM OR 97301,2024-03-28,463045.0,137040,421920,558960,280660,-95915.0,-17.159546300271934,0.8284045369972807
608630,4742 BREITENBUSH AVE NE SALEM OR 97301,2024-03-29,460995.0,137040,431630,568670,285640,-107675.0,-18.934531450577662,0.8106546854942234
607205,5647 EARTH PL NE SALEM OR 97305,2024-03-29,516605.0,137040,396950,533990,271990,-17385.0,-3.2556789452986012,0.967443210547014
572412,1025 22ND ST NE SALEM OR 97301,2024-03-29,352000.0,137040,176810,313850,130340,38150.0,12.155488290584675,1.1215548829058468
550361,4521 SAPPHIRE CT NE SALEM OR 97305,2024-03-29,420000.0,137040,275480,412520,220280,7480.0,1.8132454184039561,1.0181324541840395
607229,4845 PLANET AVE NE SALEM OR 97305,2024-03-29,441995.0,137040,301930,438970,243390,3025.0,0.6891131512404036,1.006891131512404
585167,1005 SUMMER ST NE SALEM OR 97301,2024-03-29,510000.0,128000,400400,528400,256100,-18400.0,-3.4822104466313397,0.9651778955336866
568788,1760 MCCOY AVE NE SALEM OR 97301,2024-03-29,432500.0,137040,284240,421280,139070,11220.0,2.6633118116217243,1.0266331181162172
565357,2880 LADY BUG CT NE SALEM OR 97301,2024-03-29,359900.0,134540,158270,292810,141230,67090.0,22.91246883644684,1.2291246883644684
570728,3945 CROISAN MTN DR S SALEM OR 97302,2024-04-01,1200000.0,190500,917110,1107610,760280,92390.0,8.341383700038822,1.0834138370003883
532299,5383 36TH AVE SE SALEM OR 97317,2024-04-01,265000.0,243460,0,243460,86540,21540.0,8.847449272981187,1.0884744927298118
587225,545 ELECTRIC AVE SE SALEM OR 97302,2024-04-02,410000.0,187500,235020,422520,226000,-12520.0,-2.9631733409069394,0.9703682665909306
594594,888 TIERRA DR NE SALEM OR 97301,2024-03-26,337000.0,137040,161100,298140,152650,38860.0,13.034145032535049,1.1303414503253506
607207,5643 EARTH PL NE SALEM OR 97305,2024-04-04,419800.0,137040,277530,414570,207680,5230.0,1.2615481100899728,1.0126154811008998
566915,1660 CHURCH ST NE SALEM OR 97301,2024-04-04,335000.0,137040,199950,336990,113780,-1990.0,-0.5905219739458144,0.9940947802605419
590271,2447 SIMPSON ST SE SALEM OR 97301,2024-04-08,314500.0,97250,188480,285730,91480,28770.0,10.068946207958563,1.1006894620795855
607203,5619 EARTH PL NE SALEM OR 97305,2024-04-08,444995.0,137040,302740,439780,225750,5215.0,1.185820182818682,1.0118582018281868
578496,5166 TANOAK AVE SE SALEM OR 97306,2024-04-05,395000.0,165000,256840,421840,202290,-26840.0,-6.362601934382704,0.9363739806561729
603942,2205 AUDUBON AVE SE SALEM OR 97302,2024-04-05,504000.0,133650,338910,472560,244200,31440.0,6.653123412899949,1.0665312341289994
357592,4997 SKYLAB AVE NE SALEM OR 97305,2024-04-05,467500.0,137040,328260,465300,264630,2200.0,0.4728132387706856,1.0047281323877069
567281,2355 HYDE ST SE SALEM OR 97301,2024-04-05,310000.0,99750,183620,283370,103440,26630.0,9.3976073684582,1.093976073684582
586828,365 RURAL AVE SE SALEM OR 97302,2024-04-05,455000.0,184500,237820,422320,216230,32680.0,7.7382079939382455,1.0773820799393825
565160,4010 ALDERBROOK AVE SE SALEM OR 97302,2024-04-05,385000.0,168000,188850,356850,176600,28150.0,7.888468544206249,1.0788846854420624
607212,5573 EARTH PL NE SALEM OR 97305,2024-04-10,446995.0,137040,330970,468010,232420,-21015.0,-4.490288669045533,0.9550971133095447
583486,2375 RURAL AVE SE SALEM OR 97302,2024-04-10,330000.0,99750,203110,302860,118020,27140.0,8.961236214752692,1.0896123621475269
587720,2255 4TH ST NE SALEM OR 97301,2024-04-10,215000.0,97250,207860,305110,90910,-90110.0,-29.533610828881386,0.7046638917111862
331853,4505 FELLOWSHIP WAY NE SALEM OR 97305,2024-04-10,485000.0,108530,517020,625550,269670,-140550.0,-22.46822795939573,0.7753177204060426
568512,545 21ST ST SE SALEM OR 97301,2024-04-10,213000.0,137040,133260,270300,99370,-57300.0,-21.198668146503884,0.7880133185349611
589841,2975 SHELLEY ST NE SALEM OR 97301,2024-04-09,320000.0,137040,163150,300190,131800,19810.0,6.599153869216163,1.0659915386921617
332277,1994 FUTURE DR NE SALEM OR 97305,2024-04-11,600000.0,147040,430460,577500,278030,22500.0,3.896103896103896,1.0389610389610389
593703,5525 SEEGER LN SE SALEM OR 97306,2024-04-09,435000.0,165000,277150,442150,245470,-7150.0,-1.6170982698179353,0.9838290173018206
608633,4760 BREITENBUSH AVE NE SALEM OR 97301,2024-04-11,428995.0,137040,391090,528130,264450,-99135.0,-18.770946547251626,0.8122905345274838
571141,1396 WALLER ST SE SALEM OR 97302,2024-04-11,230000.0,97250,198010,295260,120800,-65260.0,-22.10255368150105,0.7789744631849895
354907,1728 JUNIPER BUTTE AVE SE SALEM OR 97306,2024-04-09,644999.0,165000,544750,709750,335380,-64751.0,-9.123071504050722,0.9087692849594928
608631,4748 BREITENBUSH AVE NE SALEM OR 97301,2024-04-11,446995.0,137040,406150,543190,272570,-96195.0,-17.70927299839835,0.8229072700160165
341020,2136 AUDUBON AVE SE SALEM OR 97302,2024-04-12,361400.0,125820,293350,419170,206600,-57770.0,-13.781997757473102,0.862180022425269
607317,518 SARAH RENEE AVE SE SALEM OR 97306,2024-04-12,521850.0,165000,312720,477720,245110,44130.0,9.237628736498367,1.0923762873649836
526882,1296 16TH ST NE SALEM OR 97301,2024-04-16,340000.0,137040,192160,329200,126410,10800.0,3.2806804374240586,1.0328068043742407
